Dataset,Descripcion,Problem_type,Metrica_baseline,Metrica_policy,Policy_Preset,Policy_Tiempo_s,Policy_accuracy,Policy_balanced_accuracy,BaselineA_Preset,BaselineA_Tiempo_s,BaselineA_accuracy,BaselineA_balanced_accuracy,BaselineB_Preset,BaselineB_Tiempo_s,BaselineB_accuracy,BaselineB_balanced_accuracy,Policy_f1,BaselineA_f1,BaselineB_f1,Policy_root_mean_squared_error,BaselineA_root_mean_squared_error,BaselineB_root_mean_squared_error
Titanic,Clasificación binaria equilibrada (supervivencia en el Titanic),binary,accuracy,balanced_accuracy,['medium_quality'],18.8,0.8045,0.7894,medium_quality,15.7,0.8101,0.7942,medium_quality,15.5,0.8101,0.7942,,,,,,
IBM HR Attrition,Clasificación binaria con desbalanceo moderado (IR ≈ 5.2),binary,accuracy,f1,['high_quality'],1906.7,0.881,,medium_quality,23.6,0.8707,,medium_quality,23.4,0.8707,,0.4444,0.1739,0.1739,,,
Credit Card Fraud,Clasificación binaria con desbalanceo severo (IR ≈ 577),binary,accuracy,f1,['high_quality'],2125.7,0.9997,,medium_quality,186.1,0.9995,,medium_quality,186.8,0.9995,,0.8927,0.8398,0.8398,,,
Loan Approval,Clasificación binaria con desbalanceo ligero (IR ≈ 1.6),binary,accuracy,f1,['good_quality'],401.6,0.9069,,medium_quality,28.1,0.905,,medium_quality,27.4,0.905,,0.8801,0.8778,0.8778,,,
Video Game Sales,Regresión sobre ventas totales de videojuegos,regression,root_mean_squared_error,root_mean_squared_error,['good_quality'],1984.8,,,medium_quality,191.6,,,medium_quality,194.2,,,,,,0.5259,0.5373,0.5373
